# X Y Z

1	0.0	0.0	0.0

2	1.0	0.0	0.0

3	2.0	0.0	0.0

4	3.0	0.0	0.0

5	4.0	0.0	0.0

6	5.0	0.0	0.0

7	6.0	0.0	0.0

8	7.0	0.0	0.0

9	8.0	0.0	0.0

10	9.0	0.0	0.0

11	10.0	0.0	0.0

12	11.0	0.0	0.0

13	12.0	0.0	0.0

14	13.0	0.0	0.0

15	14.0	0.0	0.0

16	15.0	0.0	0.0

17	16.0	0.0	0.0

18	17.0	0.0	0.0

19	18.0	0.0	0.0

20	19.0	0.0	0.0

21	20.0	0.0	0.0

22	21.0	0.0	0.0

23	22.0	0.0	0.0

24	23.0	0.0	0.0

25	24.0	0.0	0.0

26	25.0	0.0	0.0

27	26.0	0.0	0.0

28	27.0	0.0	0.0

29	28.0	0.0	0.0

30	29.0	0.0	0.0

# A B M N

178	16	17	19	20

179	17	18	20	21

180	18	19	21	22

181	19	20	22	23

182	20	21	23	24

183	21	22	24	25

184	22	23	25	26

185	23	24	26	27

186	24	25	27	28

187	25	26	28	29

188	26	27	29	30

189	1	2	5	6

190	2	3	6	7

191	3	4	7	8

192	4	5	8	9

193	5	6	9	10

194	6	7	10	11

195	7	8	11	12

196	8	9	12	13

197	9	10	13	14

198	10	11	14	15

199	11	12	15	16

200	12	13	16	17

201	13	14	17	18

202	14	15	18	19

203	15	16	19	20

204	16	17	20	21

205	17	18	21	22

206	18	19	22	23

207	19	20	23	24

208	20	21	24	25

209	21	22	25	26

210	22	23	26	27

211	23	24	27	28

212	24	25	28	29

213	25	26	29	30

214	1	2	6	7

215	2	3	7	8

216	3	4	8	9

217	4	5	9	10

218	5	6	10	11

219	6	7	11	12

220	7	8	12	13

221	8	9	13	14

222	9	10	14	15

223	10	11	15	16

224	11	12	16	17

225	12	13	17	18

226	13	14	18	19

227	14	15	19	20

228	15	16	20	21

229	16	17	21	22

230	17	18	22	23

231	18	19	23	24

232	19	20	24	25

233	20	21	25	26

234	21	22	26	27

235	22	23	27	28

236	23	24	28	29

237	24	25	29	30

238	1	2	7	8

239	2	3	8	9

240	3	4	9	10

241	4	5	10	11

242	5	6	11	12

243	6	7	12	13

244	7	8	13	14

245	8	9	14	15

246	9	10	15	16

247	10	11	16	17

248	11	12	17	18

249	12	13	18	19

250	13	14	19	20

251	14	15	20	21

252	15	16	21	22

253	16	17	22	23

254	17	18	23	24

255	18	19	24	25

256	19	20	25	26

257	20	21	26	27

258	21	22	27	28

259	22	23	28	29

260	23	24	29	30

261	1	2	8	9

262	2	3	9	10

263	3	4	10	11

264	4	5	11	12

265	5	6	12	13

266	6	7	13	14

267	7	8	14	15

268	8	9	15	16

269	9	10	16	17

270	10	11	17	18

271	11	12	18	19

272	12	13	19	20

273	13	14	20	21

274	14	15	21	22

275	15	16	22	23

276	16	17	23	24

277	17	18	24	25

278	18	19	25	26

279	19	20	26	27

280	20	21	27	28

281	21	22	28	29

282	22	23	29	30

283	1	2	9	10

284	2	3	10	11

285	3	4	11	12

286	4	5	12	13

287	5	6	13	14

288	6	7	14	15

289	7	8	15	16

290	8	9	16	17

291	9	10	17	18

292	10	11	18	19

293	11	12	19	20

294	12	13	20	21

295	13	14	21	22

296	14	15	22	23

297	15	16	23	24

298	16	17	24	25

299	17	18	25	26

300	18	19	26	27

301	19	20	27	28

302	20	21	28	29

303	21	22	29	30

304	1	2	10	11

305	2	3	11	12

306	3	4	12	13

307	4	5	13	14

308	5	6	14	15

309	6	7	15	16

310	7	8	16	17

311	8	9	17	18

312	9	10	18	19

313	10	11	19	20

314	11	12	20	21

315	12	13	21	22

316	13	14	22	23

317	14	15	23	24

318	15	16	24	25

319	16	17	25	26

320	17	18	26	27

321	18	19	27	28

322	19	20	28	29

323	20	21	29	30

324	1	2	11	12

325	2	3	12	13

326	3	4	13	14

327	4	5	14	15

328	5	6	15	16

329	6	7	16	17

330	7	8	17	18

331	8	9	18	19

332	9	10	19	20

333	10	11	20	21
334	11	12	21	22

335	12	13	22	23

336	13	14	23	24

337	14	15	24	25

338	15	16	25	26

339	16	17	26	27

340	17	18	27	28

341	18	19	28	29

342	19	20	29	30

343	1	2	12	13

344	2	3	13	14

345	3	4	14	15

346	4	5	15	16

347	5	6	16	17

348	6	7	17	18

349	7	8	18	19

350	8	9	19	20

351	9	10	20	21

352	10	11	21	22

353	11	12	22	23

354	12	13	23	24

355	13	14	24	25

356	14	15	25	26

357	15	16	26	27

358	16	17	27	28

359	17	18	28	29

360	18	19	29	30

361	1	2	13	14

362	2	3	14	15

363	3	4	15	16

364	4	5	16	17

365	5	6	17	18

366	6	7	18	19

367	7	8	19	20

368	8	9	20	21

369	9	10	21	22

370	10	11	22	23

371	11	12	23	24

372	12	13	24	25

373	13	14	25	26

374	14	15	26	27

375	15	16	27	28

376	16	17	28	29

377	17	18	29	30

378	1	2	14	15

379	2	3	15	16

380	3	4	16	17

381	4	5	17	18

382	5	6	18	19

383	6	7	19	20

384	7	8	20	21

385	8	9	21	22

386	9	10	22	23

387	10	11	23	24

388	11	12	24	25

389	12	13	25	26

390	13	14	26	27

391	14	15	27	28

392	15	16	28	29

393	16	17	29	30

394	1	2	15	16

395	2	3	16	17

396	3	4	17	18

397	4	5	18	19

398	5	6	19	20

399	6	7	20	21

400	7	8	21	22

401	8	9	22	23

402	9	10	23	24

403	10	11	24	25

404	11	12	25	26

405	12	13	26	27

406	13	14	27	28

407	14	15	28	29

408	15	16	29	30

409	1	2	16	17

410	2	3	17	18

411	3	4	18	19

412	4	5	19	20

413	5	6	20	21

414	6	7	21	22

415	7	8	22	23

416	8	9	23	24

417	9	10	24	25

418	10	11	25	26

419	11	12	26	27

420	12	13	27	28

421	13	14	28	29

422	14	15	29	30

423	1	2	17	18

424	2	3	18	19

425	3	4	19	20

426	4	5	20	21

427	5	6	21	22

428	6	7	22	23

429	7	8	23	24

430	8	9	24	25

431	9	10	25	26

432	10	11	26	27

433	11	12	27	28

434	12	13	28	29

435	13	14	29	30

436	1	2	18	19

437	2	3	19	20

438	3	4	20	21

439	4	5	21	22

440	5	6	22	23

441	6	7	23	24

442	7	8	24	25

443	8	9	25	26

444	9	10	26	27

445	10	11	27	28

446	11	12	28	29

447	12	13	29	30

448	1	2	19	20

449	2	3	20	21

450	3	4	21	22

451	4	5	22	23

452	5	6	23	24

453	6	7	24	25

454	7	8	25	26

455	8	9	26	27

456	9	10	27	28

457	10	11	28	29

458	11	12	29	30

459	1	2	20	21

460	2	3	21	22

461	3	4	22	23

462	4	5	23	24

463	5	6	24	25

464	6	7	25	26

465	7	8	26	27

466	8	9	27	28

467	9	10	28	29

468	10	11	29	30

469	1	2	21	22

470	2	3	22	23

471	3	4	23	24

472	4	5	24	25

473	5	6	25	26

474	6	7	26	27

475	7	8	27	28

476	8	9	28	29

477	9	10	29	30

478	1	2	22	23

479	2	3	23	24

480	3	4	24	25

481	4	5	25	26

482	5	6	26	27

483	6	7	27	28

484	7	8	28	29

485	8	9	29	30

486	1	2	23	24

487	2	3	24	25

488	3	4	25	26

489	4	5	26	27

490	5	6	27	28

491	6	7	28	29

492	7	8	29	30

493	1	2	24	25

494	2	3	25	26

495	3	4	26	27

496	4	5	27	28

497	5	6	28	29

498	6	7	29	30

499	1	2	25	26

500	2	3	26	27

501	3	4	27	28

502	4	5	28	29

503	5	6	29	30

504	1	2	26	27

505	2	3	27	28

506	3	4	28	29

507	4	5	29	30

508	1	2	27	28

509	2	3	28	29

510	3	4	29	30

511	1	2	28	29

512	2	3	29	30

513	1	2	29	30

514	1	3	5	7

515	2	4	6	8

516	3	5	7	9

517	4	6	8	10

518	5	7	9	11

519	6	8	10	12

520	7	9	11	13

521	8	10	12	14

522	9	11	13	15

523	10	12	14	16

524	11	13	15	17

525	12	14	16	18

526	13	15	17	19

527	14	16	18	20

528	15	17	19	21

529	16	18	20	22

530	17	19	21	23

531	18	20	22	24

532	19	21	23	25

533	20	22	24	26

534	21	23	25	27

535	22	24	26	28

536	23	25	27	29

537	24	26	28	30

538	1	3	7	9

539	2	4	8	10

540	3	5	9	11

541	4	6	10	12

542	5	7	11	13

543	6	8	12	14

544	7	9	13	15

545	8	10	14	16

546	9	11	15	17

547	10	12	16	18

548	11	13	17	19

549	12	14	18	20

550	13	15	19	21

551	14	16	20	22

