El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 12.00 21.00 15.00 18.00 1048.88 0.58 0.00 15.20 16.963 0.305 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 22.00 16.00 19.00 1197.80 0.66 0.00 7.06 16.888 0.266 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 23.00 17.00 20.00 1256.03 0.83 0.00 -2.08 16.992 0.255 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 24.00 18.00 21.00 1363.14 0.81 0.00 -4.07 16.974 0.235 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 25.00 19.00 22.00 1320.23 0.52 0.00 -9.26 16.630 0.237 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 26.00 20.00 23.00 1354.49 0.70 0.00 10.34 16.863 0.235 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 27.00 21.00 24.00 1306.82 1.20 0.00 5.32 16.852 0.243 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 28.00 22.00 25.00 1450.62 1.37 0.00 -0.73 17.354 0.225 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 29.00 23.00 26.00 1484.53 1.02 0.00 17.02 16.412 0.208 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 30.00 24.00 27.00 1466.14 0.81 0.00 9.04 16.634 0.214 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 31.00 25.00 28.00 1335.73 1.34 0.00 6.84 16.487 0.233 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 32.00 26.00 29.00 1332.22 0.99 0.00 -5.06 16.698 0.236 0.00 0.00 0.00 0.00
Mixed/non-conventional 24.00 33.00 27.00 30.00 1298.11 1.08 0.00 -1.43 16.505 0.240 0.00 0.00 0.00 0.00
Mixed/non-conventional 25.00 34.00 28.00 31.00 1283.20 0.90 0.00 9.14 16.888 0.248 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 35.00 29.00 32.00 1241.23 0.69 0.00 -19.09 17.139 0.260 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 12.00 4.00 8.00 462.81 0.61 0.00 13.37 15.853 0.861 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 13.00 5.00 9.00 529.25 0.64 0.00 -29.28 15.520 0.737 0.00 0.00 0.00 0.00
